== ut-callwatch2 start 2026-09-05 06:28:41  (600s)
== card:    iccid=...3899 mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
06:29:57 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:29:58 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:00 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:01 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:02 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:03 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:04 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:05 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:07 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:30:08 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:09 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:10 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:11 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:12 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:13 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:15 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:16 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
06:30:17 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:30:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
